,cleaned_hm,ground_truth_category
55,I found something I had lost weeks before.,achievement
56,I bought a new phone,achievement
57,I got to see a very good old friend that came over at my daughter's birthday.,bonding
58,"I went my sons school for open house yesterday, the teacher told about him very positively, that made me happy",affection
59,My long time best friend came to visit me with family after so many years.,bonding
60,When i claim back 95% my insurance money from insurance company.,achievement
61,My cousin brother got engaged to his love after 3 years,affection
62,My son sang a song for me.,affection
63,just that feeling of motivation of moving into the right direction you know?!,enjoy_the_moment
64,i met my old friends after 5 years.we all had a talk for half a day.we played football like my old days.,bonding
65,I finished my paper for my college class.,achievement
66,"After a long time, today my cousin came home surprisingly that made my day !",affection
67,I managed to throw out a few items that were cluttering a room. I enjoyed the space I have after. ,enjoy_the_moment
68,Seeing a friend I haven't seen in a long time,bonding
69,I spent some time in the kitchen making chicken soup.,leisure
70,I met with my school friends and enjoyed a lot.,bonding
71,I satisfied my many food cravings for dinner.,enjoy_the_moment
72,Meeting up with some older friends that I hadn't seen for a while.,bonding
73,i received a lottery amount of 5000 today,achievement
74,I talked to my mom on the phone and it was an amazing call. ,affection
75,"I got to talk to my mother on the phone last night, we hadn't spoke in a while and it was needed.",affection
76,"The pork I cooked for dinner last night turned out well, I was worried it wouldn't. ",achievement
77,I got accepted into the college I applied for. ,achievement
78,I received a birthday gift in the mail from a good friend of mine. ,bonding
79,I talked to my girlfriend recently and she told me that she loved me.,affection
80,I finally had a chance to talk about some things that were really bothering me with a good friend.,bonding
81,I went for a walk early in the morning and air was clear and crisp.,nature
82,When my wife came home from being at work all day.,affection
83,"I was finally able to take the necessary steps to start learning Japanese and I finally read my first sentence, it felt really great inside.",achievement
84,I sold my motorcycle and got 2 thousand dollars for it which is a lot,achievement
85,"I sat outside in my backyard and enjoyed the greenery and the sun that shone down on my face.
",nature
86,My wife made her chicken soup.,affection
87,I received a bonus at work.,achievement
88,"I went out to eat at my favorite burger joint. The burgers were so delicious, I was in complete bliss.",enjoy_the_moment
89,Coffee has made me incredibly happy.,enjoy_the_moment
90,I was able to have my cell phone service plan significantly reduced which caused me a great deal of happiness yesterday. ,achievement
91,I finally cleaned out my basement. ,achievement
92,My new boss appreciated the work i put in,achievement
93,I saw some friends that I had not seen in a while and it was good to reconnect. ,bonding
94,My cat snuggled with me while we slept.,affection
95,i was working on a problem from the morning when i found the solution for the problem i was very happy there is no words to describe my feelings,achievement
96,I made my goal of losing 10 pounds.,achievement
97,I bought a new laptop.,achievement
98,My friend treated me to a nice lunch. It was seafood and delicious. I didn't have to pay for anything. ,bonding
99,Watching Bob's Burgers streaming on Fox.,leisure
100,"I got a ten dollar bonus from a requester on Mechanical Turk, and I didn't even remember doing the HIT.",achievement
101,I had talked on the phone with my girlfriend while i've been sick. ,affection
102,My 4 year old son was trying to impress his mother yesterday. After dinner he asked for a piece of chocolate. We have mini Hershey bars so I put one on the counter. My son pointed at the chocolate bar and with his finger moving across the letters he said. Mom it says Turkeys. It made me laugh,affection
103,I got complimented on looking buff,achievement
104,"Did well in the videogame I was playing
",leisure
105,I won at poker at the local bar. I won $600 and bought a round of drinks for everyone cause I felt so good. I am still happy from this event even this morning. ,achievement
106,I got done with a test that I had been nervous about taking. I think I did pretty good too.,achievement
107,"I finally repaired a problem with my car. I needed some help, but I managed to do it mostly on my own.",achievement
108,I played with my dog.,affection
109,I watched a wonderful movie that I have not seen in years. My family and I were thrilled.,affection
110,Basically I got an eye exam that really helped me with my eyes. I have diabetes and suffering some vision problems. I ended up getting prescription glasses for my eyes.,achievement
111,My daughter told me she loved me and hugged me before bed time.,affection
112,"I got a call for a job interview I didn't think I qualified for.

",achievement
113,"I got Chinese food for dinner, it was good.",leisure
114,"My friend, Sheryl came over to visit me and my puppy. ",bonding
115,Talking to my girlfriend over the phone and making weekend plans,affection
116,I made the final table of a poker tournament.,achievement
117,I helped plan a surprise party for my Mom's 70th birthday party coming up. ,affection
118,I was really happy when I was finished with my midterm. I felt decently well on it and was happy when it was over.,achievement
119,"My baby woke up silly and happy and I  felt happy and refreshed from a fairly good night sleep and enjoyed his silliness.
",affection
120,"I got a full night of sleep. That does not often happen with a 3 month-old in the house. 
",enjoy_the_moment
121,"I finally completed a long, tiring task at work.",achievement
122,"Increased my max bench press this morning, heaviest I've ever lifted",achievement
123,I watched a Blackhawks game last night.,leisure
124,complete my pending job task today.,achievement
125,"I realized that, under the ACA, I have people I can count on to support me in getting (and keeping) health coverage.",achievement
126,I worked on my garden in the nice warm weather. The plants were all growing so nicely and the air was so clean.,nature
127,I had cream of chicken soup for dinner. It made me feel a lot better because I have been sick. ,enjoy_the_moment
128,I got to take a walk with my 12 month old son and my husband. The weather is ver beautiful right now. cool and sunny.,affection
129,Picking up my girlfriend from the airport since I hadn't seen her for two weeks.,affection
130,My ex girlfriend texted me and talked to me on the phone as well.,affection
131,I watched a particularly compelling episode of a show that I enjoy on Netflix.,leisure
132,My professor gave me an extension on an assignment,achievement
133,I WAS VERY HAPPY THAT SOMEONE WHO OWED ME MONEY PAID ME BACK LAST NIGHT. ,enjoy_the_moment
134,I went to In n Out after work and I was starving. The double double tasted so good,enjoy_the_moment
135,"I went to the beach with my girlfriend. It was nice seeing the beautiful sunset go down while holding her in my arms, I was so grateful for this life",affection
136,"
Daughter committed to a college.",affection
137,I enjoyed cooking ribs for dinner tonight.,enjoy_the_moment
138,"I watched a movie with my wife, and we both enjoyed it.",affection
139,I went for a walk on the marina with my husband.,affection
140,"The last show before WrestleMania, Goldberg appeared and got the better of his upcoming opponent Brock Lesnar.  A great result.",achievement
141,"I made an amazing dinner of garlic and butter noodles.  It had the perfect amount of salt, butter, and Parmesan cheese.  It made my mouth really happy.  ",achievement
142,Going to dunkin' donuts and getting a free dozen of them made me happy today.,enjoy_the_moment
143,Cooking dinner with my boyfriend.,affection
144,I won sports bets on all 3 of the tennis matches I put money on.,achievement
145,I made a great riff on guitar,achievement
146,"I ate chicken, rice, and vegetables for lunch.",leisure
147,I went to the gym. Hitting a new personal record on the bench press made me more confident in my abilities.  ,exercise
148,When I'm with my kids.,affection
149,I completed a modification for a video game that I was able to release to the public.,achievement
150,I finally figured out how to properly install a program at work. ,achievement
151,my mom made me my favorite pancakes after long time.,affection
152,I hung out with my mother.,affection
153,"Me and my spouse spent the entire day together, laying around and enjoying each others company. We are both pretty busy during the days, and it was very nice that we both had all day to each other. ",affection
154,My coworker just received news that she had an accepted offer on her home.,bonding
155,I had a great meal,enjoy_the_moment
156,I prepped oatmeal for a few months so I have plenty of great breakfasts ready.,achievement
157,A friend came over to help install an appliance.  I was very happy I didn't have to pay a professional.,bonding
158,I am getting better at doing homework without having a mental breakdown or sleeping.,achievement
159,I finished the work project I was working on today.,achievement
160,I played video games with my roommate and online friends.,bonding
161,I fixed a broken window that had been in that condition for months!,achievement
162,Walking outside with a friend playing pokemon go,bonding
163,My daughter came in last night and told me that she loved me and gave me a hug and a kiss and then put herself to bed. ,affection
164,I was watching an episode of crashing and I had a good laugh at one of the jokes on the episode.,enjoy_the_moment
165,Getting a back massage,leisure
166,I hung out and went drinking with my boyfriend and our friends.,affection
167,I found something unexpected in a video game I am playing.,leisure
168,My husband finished painting my bathroom.  It has been a mess for 2 weeks but last night he put on the last coat after he got home from work.  It made me so happy that it was finally a functional bathroom again.,affection
169,I got to take a nap on the couch.,leisure
170,"I participated in a group task and felt valued in it, as if my skills were needed and appreciated. ",achievement
171,I picked up a new phone this afternoon with an Android operating system instead of the terrible Windows phone I have been using. ,achievement
172,i was working on a problem from the morning when i found the solution for the problem i was very happy there is no words to describe my feelings,achievement
173,My husband made dinner! There were left overs he makes the best scampi ,affection
174,I completed upgrading the switches in our house so everything looks much better.,achievement
175,Cooked and ate a delicious steak. ,enjoy_the_moment
176,"I was preparing a scrap book for another friend for her birthday. It had screenshots of our chats during the past year, photos, and notes. She teared up going through it and told me aI donat know what have I done to deserve people like you caring this mucha",bonding
177,Playing video games with my nephew,leisure
178,I managed to work on my web design project after putting it off for a while.,achievement
179,I got to watch my favorite tv show.,leisure
180,I went an entire day of work with no one from HQ sending us last minute insurance claims files and my boss didn't yell at me to work faster to meet deadlines. I had a boring happy day.,achievement
181,I went grocery shopping and got some really good deals.  I spent $20 less than I had planned.  Bought some marked down ribeyes for $3/lb.,achievement
182,I ate some of my favorite meals (including bourbon steak) for dinner.,enjoy_the_moment
183,I finished the grout on the new counter top tile. ,achievement
184,"I got to go get some chinese food, I hadnt had any in a long time.",leisure
185,My friend stopped by to cht and see me who I have not seen since last year. It was awesome to touch base again and have him back in town. ,bonding
186,I stepped outside without a jacket today.  The sun is shining and it finally feels a bit like spring!,nature
187,I brought in a card game to try playing with my client and he enjoyed it.,leisure
188,"I got to see my niece today, she's adorable.",affection
189,I picked up running again now that the winter weather has finally died down. I feel much better physically and emotionally because of it.,nature
190,I ate tacos.,enjoy_the_moment
191,My brother bought home pizza,affection
192,I smoked some weed with my very close friends.,bonding
193,"Watching a soap opera of a wrestler, Blue Demon.",leisure
194,I was able to find a rare vinyl record I had been looking for for a long time. ,achievement
195,getting more money ,achievement
196,My most annoying co-workers are away at a conference and the office has been really peaceful. ,enjoy_the_moment
197,I finished all of my work by the end of the day.,achievement
198,I won $20 on a fanduel nba fantasy basketball tournament lineup contest.,achievement
199,When I played with my daughter,affection
200,happy moment is i got a call saying i got a job and i need to do paperwork.,achievement
201,A shirt that I had ordered online finally came in.,achievement
202,When school ended and so I could finally go home.,enjoy_the_moment
203,I grabbed a $20 HIT on Mechanical Turk.,achievement
204,I ran quite a long distance with good weather.,exercise
205,Amazon was able to refund a product that I thought I was going to be stuck paying for.,achievement
206,My husband told me I didn't have to cook. He is getting food on the way home from work.,affection
207,I checked a lotto ticket today and found that I won $2.00.,achievement
208,Found out that my cousins bought a new home near me. ,affection
209,I made a delicious breakfast.,achievement
210,The team I coach won its match today.,achievement
211,I did rather well in reaching my recent sales goal.,achievement
212,I saw my boyfriend again after being apart for a month.,affection
213,I had an amazing dream this morning.,enjoy_the_moment
214,I completed a goal that I set for myself at the gym and it pumped me up for tomorrow. ,exercise
215,I ate delicious rice pudding,enjoy_the_moment
216,I'm finally getting back into my healthy eating plan and today I found out I lost a pound.,achievement
217,I finished a project at work all by myself.,achievement
218,My friend and I took a long walk.,bonding
219,I saw that there was a new episode of Mindy Project and I was excited to watch it.,leisure
220,I got my favorite ice cream from the ice cream parlor,leisure
221,"Thinking about my young grandchildren after looking at their pictures today, and how they all look and act just like their Dad, making me very happy and proud.  ",affection
222,my girlfriend surprised me at work with a gift.,affection
223,I am happy that I stuck to my diet that I started yesterday without cheating at all.,enjoy_the_moment
224,I played a video game.,leisure
225,I was able to turn in the forbearance form for my student loans.,achievement
226,My boss told me I did an exceptional job. ,achievement
227,I enjoyed the great meal and drinks on my flight.,enjoy_the_moment
228,I watched a TV show I like a lot.,leisure
229,My son got himself ready for school without my help.,affection
230,"I went to dinner with some friends, after a meeting.",bonding
231,I went to the gym with a friend of mine who I hadn't seen in a long time.,bonding
232,Performing well at an online game and helping my team win.,achievement
233,I am planning another trip upcoming in August. This one is a week-long trip in Colorado. Planning makes me so excited. I love seeing everything coming together and falling into place. I will probably continue to be happy about this randomly up to the point of the actual trip.,enjoy_the_moment
234,I ate dinner with my favorite person.,affection
235,Spending time with my dogs outside made me happy. I love watching them play and having fun,affection
236,I ate McDonald's for breakfast.,enjoy_the_moment
237,I was able to save a customer of mine over 1000 dollars in insurance premiums.,achievement
238,I was able to enjoy a nice pleasant dinner with my family last night at the olive garden.,affection
239,My favorite show came back on netflix,enjoy_the_moment
240,I met a close friend for coffee. ,bonding
241,My cat cuddled with me when I went to sleep. ,affection
242,I listened to a new song that I really liked.,leisure
243,When my kids were going to bed they both gave me a kiss and a hug and told me that they loved me.  They are teens now so I hope it will last.,affection
244,I got my sons report card from his teacher and saw that he got all A's.,affection
245,i was working on a problem from the morning when i found the solution for the problem i was very happy there is no words to describe my feelings,achievement
246,I went out to lunch with my boyfriend and we sat outside while we ate and enjoyed our food together.,affection
247,I got to eat some great food from my mom that I hadn't had in awhile,affection
248,I made myself a tasty dinner last night.,leisure
249,I was able to leave work early.,achievement
250,In my free time on Monday Night I went online and started doing some paid research survey. I have been too lazy to do them but since I am always online I decided to get paid while searching the internet.,leisure
251,"I listened to the latest album from a favorite musician, Kristin Hersh.",leisure
252,"At dinner, my family and I were all laughing at the silly song my daughter made up.",affection
253,Had a delicious lunch,enjoy_the_moment
254,"When i ware upset last night, my mom convey me some words through online video chat. Listening to my mom's word on phone call was the best enlightenment to me i have received in last few months.",affection
255,I took some medication that relieved soem pain.,achievement
256,I was able to take my cat out for a walk while the sky was clear.,affection
257,"I played with my new kitten, we have only had him for 3 weeks!",affection
258,I got my paycheck.,achievement
259,I was accepted for a higher paying study on mechanical turk. I need the money and I was thrilled that I could earn the extra money in this way.,achievement
260,I ate a delicious and healthy smoothie.,enjoy_the_moment
261,My son told me he is having the best time while we were at the beach this morning in Florida. ,affection
262,I woke up next to my fiance.,affection
263,I reached my sales goals at work for the day. I feel really proud of my diligent efforts.,achievement
264,Baking macaroons with my little brother and sister.,affection
265,I was happy that I lost over one pound. I cheated some but still lost weight.,achievement
266,"I was preparing a scrap book for another friend for her birthday. It had screenshots of our chats during the past year, photos, and notes. She teared up going through it and told me aI donat know what have I done to deserve people like you caring this mucha",bonding
267,Eating a BBQ pizza from Little Ceasars.,enjoy_the_moment
268,i felt happy today when i got caught up on my work so i had some free time to myself. ,enjoy_the_moment
269,I got my check from the insurance company to fix my damaged car.,achievement
270,I started a new diet and was able to control my urge to eat chocolate so far.,achievement
271,I finished washing my car and making it glossy. It looks fantastic now.,enjoy_the_moment
272,My friend sent me pictures of his cat.,bonding
273,"I made plans with my brother to get together this weekend to watch the Final Four.  My nephew could win $700, because he has Gonzaga beating Oregon in the championship game.",affection
274,My husband surprised me by finishing the laundry.,affection
275,I received a gift card from my mother.,affection
276,I have my evening free since I didn't have to go to one of my jobs or go to a club meeting that I normally have every week.,leisure
277,I received the drafts back on a grant proposal I am working on from my advisor in less than a day so I could re-edit them.,achievement
278,I got my bff to stop yelling at me all the time because her boyfriend is a dick,bonding
279,I made myself pizza for dinner and sampled some home brewed beer.,enjoy_the_moment
280,I got Chinese food for lunch this afternoon as a treat for working through a ten hour day.,enjoy_the_moment
281,I finished a presentation,achievement
282,I found a coupon while ordering food online through seamless and saved $10.,achievement
283,"After a long day, I picked up a six pack of beer;  I'm in the process of enjoying it now.",enjoy_the_moment
284,My daughter told an unexpectedly funny joke. ,affection
285,Both of my dogs and my toddler played together nicely outside while I enjoyed the nice sunny weather.,nature
286,my younger sister marriage all family members will meet very enjoyful,affection
287,The temperature today was 70 degrees and the sun was shining.  I don't like cold weather so this was heaven for me.,nature
288,I called an old friend and talked for a while,bonding
289,I read a few more chapters of the novel I've been reading these past few weeks.,leisure
290,I was able to imagine a hopeful future when I am stuck in depression and poverty at the moment. ,enjoy_the_moment
291,I saw my friend at work and we talked about life.,bonding
292,"My partner sent me a special gift of chap stick, that he made himself. ",bonding
293,Making money on amazon turk made me happy this month.,achievement
294,"My new boss complimented me, and said other management staff appreciated my efforts. ",achievement
295,Last month I have achieved my target in my job much before the stipulated time.,achievement
296,My cat had recently lost weight so i took her to the veterinarian. The veterinarian said my cat had all the symptoms of hyperthyroidism. A few days later i received a call saying that my cat was perfectly fine and healthy.,affection
297,Something that made me happy in the past month was when I received a bouquet of flowers. ,enjoy_the_moment
298,When I ate at a new restaurant.,leisure
299,"It was 70 degrees out the other day, and it felt amazing to go for a walk in the park.",nature
300,I spent some time with a close friend.,bonding
301,Moving back home made me happy.,enjoy_the_moment
302,I was very happy last month when my wife got delivered a cute baby girl which just looks like me,affection
303,My wife gave birth to a baby boy and this made me happy.,affection
304,I went to meeting of science exhibition..  It is very useful to see..,leisure
305,"Meeting up with my nephew and niece at my brother's home was awesome, we had fun together.",affection
306,I got to to Philadelphia to see my brother and his family and I felt amazing. ,affection
307,My son saying he loves me,affection
308,Getting a job offer from a very important company.,achievement
309,The day I went to my daughter's clarinet concert. ,affection
310,I made cookies with my grandson.,affection
311,I made an exceptionally wonderful meal for our dinner.,achievement
312,I went to dinner with my girlfriend,affection
313,I was able to use my health knowledge when I volunteered for a health group as their guest speaker. ,achievement
314,Going home to see my family after being gone for college.,affection
315,When I finished landscaping the front yard with my wife helping me.,affection
316,"I was struggling with a problem with my elderly mother.  As my wife and I were discussing this unhappy problem, our 8-year old son came up and gave us both hugs just because he wanted us to feel better.",affection
317,I had a 3 hour conversation with my ex-girlfriend.,affection
318,My wife give me a watch as gift. I have greatly enjoyed in my life,affection
319,What made me happy this past month was passing my PGCert one which is the first hurdle to completing my PhD. ,achievement
320,Being with my family on the weekends. Going to my best friends house.,affection
321,We got a new house and a car.,achievement
322,I went to a Game of Thrones live concert experience last Thursday which made me extremely happy.,leisure
323,My youngest son began to stand up holding on to an object. ,affection
324,I have been really depressed lately and afraid to share it with my husband.  He has been very loving and supportive since I told him my feelings.  ,affection
325,I got to leave the time-zone I was born in for the first time.,achievement
326,learning & study make me happy,enjoy_the_moment
327,This month was my birthday and it made me happy that my wife took me out for a romantic date. It made me feel special and loved by her and it was nice to get out. ,affection
328,Yesterday was my birthday and usually I am not honored or get more than a general happy birthday from my family and friends.  But my boyfriend stayed up until one minute after midnight the night before just so he could say he was the first to wish me a happy birthday.  ,affection
329,I was made very happy when I was working with my students and they were able to create and play their own music in about an hour.,achievement
330,I recently received a new golf putter that I had wanted for a while.,achievement
331,Hangout with my friends like window shopping,bonding
332,"My little sister and her family came for a two week visit. I got to hold my baby niece for the first time! I am still happy over this event, as they have just left for their new home, so the joy has not left yet.",affection
333,I watched my niece and nephew for a weekend. One night when I tucked them into bed my niece wanted hugs and kisses over and over again. Usually she gives me one of each and goes to bed. After three huge hugs and kisses she told me that she loves me so so much and couldn't wait to see me in the morning. As I was leaving her room she told me she had one more question. When I asked her what it was she said I love you so much! I couldn't help but smile for the rest of the night.,affection
334,I was happy when my work hours were restored to full time (after being reduced across for budgetary reasons) and we even started getting opportunities for overtime.,achievement
335,I'm finally about to buy a car. My savings just got their few days ago. Now I'm looking. It's exciting.,achievement
336,I bought several books for cheap that would allow me to study well for an upcoming test.,achievement
337,I bought a new cell phone with latest features and specifications.,achievement
338,I was treating my sons family to Sunday lunch and I caught my very intelligent 16 year old grandson off guard and made him laugh.,affection
339,meeting old friend last sunday,bonding
340,I traveled to a state I had never been before.,leisure
341,"I could help a student to buy study materials who was best at his studies,but unable to support financially by his family",bonding
342,"When my thighs started to shrink from a low protein diet. I ate low carb and worked out hard 7 days a week 2 hours a day. I ended up super skinny except with a big butt and thighs (athletic). I look funny though because I am extremely, extremely thin on top and a size 6 or 8 on the bottom.",exercise
343,I received flowers from my partner today.,affection
344,I got around to taking a photo I wanted of a landmark near my home.,achievement
345,I had dinner with my significant other.,affection
346,Finishing up work after a long and grinding day of court.,achievement
347,My happiness had its complement when I was called to congratulate myself for my graduation of an intensive course of programming. I felt expert in technology.,achievement
348,Riding in the elevator in the arms of the guy I liked and getting a kiss and a long look before going to bed.,affection
349,The fruits of my labor a a packaging design a were printed and I received some really great recognition for it.,achievement
350,My husband and me fighting we are not celebrating my birthday ,affection
351,My happy moment was going out to dinner with my husband and son this week:,affection
352,when i play skateboard with my comrade then i fall they cheer me up and encourage to do it again.. when i land it perfectly that the sweetest happiest moment of my life ,bonding
353,I got the invigilation duty for class X board exams this year.  This is the first time get the duty after 19 years of work.  This has given me a tremendous joy and satisfaction.,achievement
354,I met with my school friends and enjoyed a lot.,bonding
355,I got to see one of my friends that I havent seen in a long time and we got to catch up.,bonding
356,BEFORE 2 YEARS FOR MY COLLEGE TOUR FUNCTION   SO WE ALL ENJOY THIS HAPPY MOMENT  FOR MY LIFE. SO I DON'T FORGETTING THIS LIFE.,enjoy_the_moment
357,My toddler stopped bedwetting.,affection
358,I finished writing my music album.,achievement
359,Another happy moment would be when I got to see my little brother for his birthday,affection
360,"I was very happy and relieved when my dad, who has cardiomyopathy, told me he was able to increase the amount of time he spends exercising every day.",affection
361,I got a stock dividend.,achievement
362, It made me happy when my infant son used baby sign language for the first time.,affection
363,Larger pay check,achievement
364,When I finished reading my book for the week.,achievement
365,My nephew was able to get a scholarship to a highly rated university,achievement
366,Waking up this morning and seeing my son smile made me happy.,affection
367,I won a small amount of money on a lottery ticket.,achievement
368,I bought a new car ,achievement
369," Start a one-line-a-day gratitude journal. Before bed, simply jot down one happy memory from that day. (If you have kids, you can ask them, ""What was the best part of today?"") Reflection is an important part of happiness, and pausing to reflect on a positive event from each day cultivates gratitude.",enjoy_the_moment
370,I arrived at the Grand Canyon and saw the view from the South Rim for the first time.,nature
371,My husband got a very nice evaluation from his boss.,achievement
372,I found some gluten free Matzo at the grocery store. It made me happy because I can't eat gluten. It was also cheaper than I expected. It tastes good. ,enjoy_the_moment
373,When I saw the ultrasound of our baby move around.  It made me realize how precious life can be and its the little moments that make it all worth it. ,affection
374,"After traveling through a snowstorm and boarding a plane in freezing weather, arriving in a destination that was 80 degrees and sunny. ",nature
375,When I completed a dungeon level in a video game I was playing.,leisure
376,I was happy when I received gifts from my sister just for the sake of giving.,affection
377,"Being more financially conscious , i am wasting less money on things I can live without.",achievement
378,A friend surprised me at work and took me out to lunch.,bonding
379,My husbands representative for this VA claim called and updated me on everything going on and stated that everything looked extremely favorable for him to win his claim and recieve over three years of back pay.,achievement
380,The second thing that made me happy was that i won a football match with my friends.,bonding
381,My mother told me she had a gift for me.,affection
382,I presented results for last month in a large meeting.,achievement
383,I found out that I had enough money to take a vacation this summer to the Caribbean!,enjoy_the_moment
384,What made me happy this month is watching my son learn new things. ,affection
385,My husband surprised me with my favorite treats.,affection
386,"My daughter started walking, and has gotten much better in the past few days.",affection
387,I got to spend time with my dad's family. We sat outside in the rain and roasted hotdogs over a bonfire.,affection
388,I successfully learned how to hover in a helicopter. ,achievement
389,"I had lots of good food on a daily basis, particularly, there is shave ice and rice dishes, noddle dishes and other very good food.",enjoy_the_moment
390,When we booked our honeymoon for late November 2017.,affection
391,"Yesterday I was looking outside my  house, some children playing cricket by looking them i was remembered my childhood days ",enjoy_the_moment
392,when i left work,enjoy_the_moment
393,Dinner with team,bonding
394,I was happy when the local radio station played one of my favorite old-school rap songs.,enjoy_the_moment
395,I buy a new plant,achievement
396,My best friend and I scored two  free tickets to a concert we'd been wanting to see but neither of us could really afford.,bonding
397,I went to chipotle and the server game me way more food than usual.,leisure
398,My family went to two day tour in a historical place. ,leisure
399,My happy moment was my husband making me dinner.,affection
400,Smoking perfect pork shoulder for a family dinner.,affection
401,I've got a new laptop and it works really well.,achievement
402,"I bought my niece a new bike for her birthday. She was happy, I was thrilled. Watching her try and fall, but finally succeed in riding the bike was quite a joyful experience.",affection
403,"I saw the film ""Zootopia.""",leisure
404,I did well in my lab work.,achievement
405,Receiving a phone interview request to the internship I applied for ,achievement
406,I was informed that my wife got a 6% pay increase which is  a lot compared to the usual 1.5% most employees usually get so I was very happy and proud of her.,achievement
407,"I got the news of my promotion to a higher post.
",achievement
408,I made a very high rank in hearthstone very recently after struggling for it.,achievement
409,I bought a new phone,achievement
410,"Got a new job in a reputed company last month, i am more than happy.",achievement
411,The Oregon Ducks advanced to the final four in the college basketball tournament.,achievement
412,Going to Disney World with family and friends. We all had a great time.  Lots to see and do there.  THe hotel was great and the parks were fun.  And seeing the expressions on my daughter's faces when we told them we were going to Disney World over the weekend made me very happy.,affection
413,I am finally leaving the town i work in.,achievement
414,I was Mailed and congratulated by the Country Head.,achievement
415,I fixed a plumbing problem in my house.,achievement
416,My family and I laughed while we were eating dinner the other night.,affection
417,I was very happy to find out that our business already has a lot of interest and we haven't even launched yet. ,achievement
