word,size,eg,counter_eg,note
exercise,13,"Went to exercise for the first time in a while at the gym.
i started to do exercise last month
I was happy when I did a exercise this morning.
i was able to get some decent exercise in today.
I remember that I was finally able to exercise at a gym.
Woke up early and performed pilates exercise routine.
I exercise well today after a long time.
I shoveled the driveway before work and got some extra exercise.
Met another goal I've had as part of my exercise program at the gym.
i was happy that i was able to have good exercise at the gym.","I was recognized for my ability to perform a jumping side kick in a group exercise class.|achievement
I achieved my exercise goal for the week.|achievement
I managed to do my exercise.|achievement
I was praised for doing a good job on a leadership exercise in class.|achievement
I took my dog for a walk in the sunshine. It was good exercise that both me and my dog enjoyed.|affection",'exercise' is the top 11 frequently used word for exercise
felt,13,"The day I finally felt healthy because I had begun taking walks three times a week.
I exercised when I  woke up and it felt wonderful to feel energized in the morning.
I felt stronger when I was working out.
I went to the gym today and lifted some weights. I felt so much better and happier afterwards.
I felt happy leaving the gym after doing cardio this morning.
I worked out and lifted weights this morning and it felt good.
When I went for a run early this morning, everything was quiet and I felt great afterwards.
I went to the gym and got a crazy muscle pump, I felt amazing after.
I felt extra flexible today and was able to push into a deeper pose like I was Gumby.","When I finally finished a chapter's worth of homework, it felt like a relief.|achievement
I felt happy when I received the results of my physical therapy board exam because I passed.|achievement
Yesterday I along with my wife roamed all over the city. We felt romantic.|affection
I listed an item online for sale that I just received in the mail; I felt prompt for listing it.|achievement
i visited a orphanage by seeing children made me to felt happy and spent a while with them.|enjoy_the_moment",'felt' is the top 12 frequently used word for exercise
made,12,"I started consistently exercising which has made me feel better physically and mentally.
I went to gym at morning it made me fresh, confidant and happy.
I took a walk, which, even though I didn't want to, made me feel better after.
I went to the gym and did a really hard workout that made me feel great and accomplished afterward.
Going for a run made me happy.
Doing a class of Yoga last week made me feel happy and good.
I exercised at today morning it made me happy.","My wife told a joke that made me laugh.|affection
My little girl won in a drawing competition and it made me happy|affection
I made chocolate cup cakes with my daughters.|affection
I made plans with friends for the next evening.|bonding
My flatmate (roommate) made me a healthy lunch.|bonding",'made' is the top 13 frequently used word for exercise
work,12,"I was able to have a great work out at the gym.  I feel really good.
Having the motivation to get out of bed this morning and get to the gym before work.
I was able to go on a 3 mile walk before work and finish before it started raining.
I shoveled the driveway before work and got some extra exercise.
I went to the gym this morning to work off those drinks I drank.
I managed to squeeze in a good workout between work tasks.
Today I was able to take a break from work and go to the gym.
I am starting to see muscles pop out showing all my hard work at the gym.
I have noticed that my legs are getting more toned since starting to work out again.
I woke up from a short nap after doing some physically exerting work.","Got a job offer! I've been out of work about 2 years, so that made me really glad.|achievement
I finally got a week off of work to go on vacation.|leisure
I was praised by a superior at work and thanked for the hard work|achievement
When i left work and it was sunny outside that made me happy.|enjoy_the_moment
I was praised at work for completing a task quicker than expected.|achievement",'work' is the top 14 frequently used word for exercise
really,12,"I had a really good feeling workout at the gym.
i got in a really good leg workout, and realized that i can still jump pretty well.
I climbed a really difficult route that I had been working on at the climbing gym.
I was able to have a great work out at the gym.  I feel really good.
I went to the gym and did a really hard workout that made me feel great and accomplished afterward.
I was happy to discover a new class at the gym that I really enjoy.","I cooked dinner for my wife and she said it tasted really good.|affection
I made really good money in tips one day at work.|achievement
I had a really nice Mother's Day yesterday with that special lady, which meant the world to us.|affection
I got a really good deal on a refurbished laptop.|achievement
I had a really good day with my husband at the beach.|affection",'really' is the top 15 frequently used word for exercise
ran,11,"I ran quite a long distance with good weather.
I ran on the treadmill for a week straight.
I ran 5 miles.
I ran out for cardio early in the morning
I ran 6 miles along the waterfront.
I ran 12 miles.
Ran an 8 minute mile yesterday.
I ran for two miles this morning.","Ran into a friend I haven't seen in a very long time.|bonding
I ran into an old friend at the grocery store and we stopped for a coffee.|bonding
My son ran up to me and gave me a huge hug, he is two.|affection
I ran into an old friend at the gym, that I hadn't seen in about five years.|bonding
My cat ran around the house very hyper and then slept adorably all day long.|affection",'ran' is the top 16 frequently used word for exercise
started,11,"I had a good workout after my knee started feeling better.
I have started running more often and am feeling better about my run time and being less tired.
I started eating healthy again and working out more to get in shape!
started doing Yoga from today.
I started consistently exercising which has made me feel better physically and mentally.
I was able to go on a 3 mile walk before work and finish before it started raining.
I found an article online that helped me get started on my workout and diet/meal-prep schedule.
Today my gym buddy and I both stayed on the elliptical for 25 minutes (we started at 10 minutes).
i started to do exercise last month
I started a diet in order to lose weight.","An old money making app I used to use started working again because of an update.|achievement
I finished Anna Karenina, I've started and stopped it four times.|achievement
My cat started to get better.|affection
When I started taking swing dance lessons.|leisure
I started a new project.|achievement",'started' is the top 17 frequently used word for exercise
day,11,"Being able to run a half mile cheered my day up.
I had a good day at the gym, and lifted a lot.
I had a good leg day at the gym!
The day I finally felt healthy because I had begun taking walks three times a week.
I've managed to consistently do cardio workouts every other day.
I went for a 3.5 mile run through the park on a sunny day.","Last day I WAS happened to see my favorite actor|enjoy_the_moment
I went to Opening Day of baseball season and saw my favorite team win the game.|leisure
Ended my day by taking some spare time and watching an old comedy movie I have no seen in years.|leisure
Achieved my work goal for the day.|achievement
Coming home to a clean house and dinner on the table after a 15 hour day at work.|enjoy_the_moment",'day' is the top 18 frequently used word for exercise
yoga,11,"Getting to do yoga unexpectedly.
I went to my yoga class that I hadn't been to in a while and saw my favorite teacher.
started doing Yoga from today.
I participated in a yoga class that left me feeling string, centered, and connected.
Doing a class of Yoga last week made me feel happy and good.
I WENT TO YOGA CLASS.
going to yoga training session
Got a great yoga workout in.",Watched most excited movie Kung Fu- Yoga acted by Jackie. I enjoyed the movie.|leisure,'yoga' is the top 19 frequently used word for exercise
great,11,"having a great workout
I went to the gym and got in a great workout.
When I went for a run early this morning, everything was quiet and I felt great afterwards.
Had a great workout session riding 20 miles on bike.
Got a great yoga workout in.
I went to the gym and did a really hard workout that made me feel great and accomplished afterward.
having a great workout
I had a great workout at the gym, I trained my back
I had a great workout yesterday that lasted a little over two hours, leaving me feeling awesome.
i had a great run.","I  modified my morning smoothie recipe and it tasted pretty great.|achievement
Had a great steak dinner.|enjoy_the_moment
I made a great riff on guitar|achievement
My Grandmother did great through surgery.|affection
I listened to some really great inspiring music that I had not heard before.|leisure",'great' is the top 20 frequently used word for exercise
